                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.99289,                0.73151,                0.95057,                0.87165,                0.78637,                0.83702,                0.63016,                 1.1076,                 1.0128,                 1.0214,                0.00439,                0.00439,                0.00439
                     37,                0.98768,                0.73093,                0.94943,                0.88649,                0.76549,                0.82619,                0.62401,                 1.1001,                0.99695,                 1.0215,               0.004225,               0.004225,               0.004225
                     38,                0.98172,                 0.7186,                0.94817,                0.86806,                0.77772,                0.84776,                0.64023,                 1.0913,                0.99263,                 1.0147,                0.00406,                0.00406,                0.00406
                     39,                 0.9745,                0.70833,                0.94419,                0.89385,                0.75307,                0.83485,                0.63354,                 1.0963,                0.99994,                 1.0186,               0.003895,               0.003895,               0.003895
                     40,                0.97537,                0.69758,                0.94598,                0.87815,                0.75994,                0.84285,                0.63465,                 1.0939,                0.98729,                 1.0158,                0.00373,                0.00373,                0.00373
                     41,                0.97749,                0.69871,                0.94922,                0.82833,                0.80623,                 0.8335,                 0.6314,                 1.0987,                0.97509,                 1.0195,               0.003565,               0.003565,               0.003565
                     42,                0.96158,                0.68627,                0.94223,                0.89965,                 0.7592,                0.84097,                0.63538,                 1.0865,                0.97278,                 1.0152,                 0.0034,                 0.0034,                 0.0034
                     43,                0.95783,                0.67404,                0.93917,                0.89434,                0.76782,                0.84277,                 0.6412,                 1.0903,                0.97434,                 1.0159,               0.003235,               0.003235,               0.003235
                     44,                0.95278,                0.67081,                0.93659,                0.88519,                0.76114,                0.83872,                0.63949,                 1.0819,                0.96285,                 1.0117,                0.00307,                0.00307,                0.00307
                     45,                0.94849,                0.65785,                0.93658,                0.88478,                0.76981,                0.83605,                 0.6389,                 1.0869,                0.96536,                 1.0151,               0.002905,               0.002905,               0.002905
                     46,                0.94163,                0.65648,                0.93306,                  0.881,                0.79298,                0.83779,                 0.6347,                 1.0794,                0.96894,                  1.015,                0.00274,                0.00274,                0.00274
                     47,                0.93908,                0.64556,                0.93293,                0.85004,                0.81426,                 0.8435,                0.64597,                 1.0818,                0.96418,                 1.0162,               0.002575,               0.002575,               0.002575
                     48,                0.93782,                0.64793,                0.93387,                0.88874,                0.78222,                0.84311,                0.64811,                 1.0803,                 0.9546,                 1.0135,                0.00241,                0.00241,                0.00241
                     49,                0.92848,                0.63482,                0.92764,                0.88948,                0.77819,                0.84381,                0.65089,                 1.0765,                0.95007,                 1.0107,               0.002245,               0.002245,               0.002245
                     50,                0.91935,                0.62869,                0.93206,                0.89748,                0.78075,                0.84687,                 0.6468,                 1.0809,                0.94719,                 1.0115,                0.00208,                0.00208,                0.00208
                     51,                0.91681,                0.59516,                   0.94,                0.89053,                0.78437,                0.84856,                0.64942,                   1.08,                0.94031,                   1.01,               0.001915,               0.001915,               0.001915
                     52,                0.90782,                0.58263,                0.93674,                0.90821,                0.77264,                0.84821,                0.64948,                 1.0751,                0.93558,                 1.0076,                0.00175,                0.00175,                0.00175
                     53,                0.90197,                0.57336,                0.93292,                0.90919,                 0.7763,                 0.8483,                0.64694,                 1.0726,                 0.9348,                 1.0076,               0.001585,               0.001585,               0.001585
                     54,                0.89616,                0.56438,                 0.9322,                0.91431,                0.77153,                0.84813,                 0.6497,                 1.0743,                0.93463,                 1.0086,                0.00142,                0.00142,                0.00142
                     55,                 0.8889,                0.55341,                0.92679,                0.91395,                0.77351,                0.84953,                0.65468,                 1.0741,                0.93585,                 1.0102,               0.001255,               0.001255,               0.001255
                     56,                0.87824,                0.54965,                0.92409,                0.86033,                0.82199,                0.86166,                0.66292,                 1.0737,                0.93246,                 1.0103,                0.00109,                0.00109,                0.00109
                     57,                0.87355,                0.53756,                0.92618,                0.86634,                0.82176,                0.86099,                0.66194,                 1.0752,                0.93805,                 1.0106,               0.000925,               0.000925,               0.000925
                     58,                0.86304,                0.52874,                0.91876,                0.86675,                0.82382,                0.86151,                0.66174,                 1.0737,                0.93277,                 1.0099,                0.00076,                0.00076,                0.00076
                     59,                0.85657,                 0.5228,                0.91917,                0.82885,                0.85109,                0.86099,                0.66502,                  1.073,                0.93316,                 1.0102,               0.000595,               0.000595,               0.000595
                     60,                0.85025,                0.51725,                0.91766,                0.83859,                0.85078,                0.86009,                0.66389,                 1.0723,                0.93448,                 1.0111,                0.00043,                0.00043,                0.00043
