                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91583,                0.61786,                  0.925,                0.86708,                0.83254,                0.86539,                0.66782,                 1.0692,                0.91265,                 1.0044,                0.00439,                0.00439,                0.00439
                     37,                0.90944,                0.61154,                0.92293,                0.87293,                0.83302,                 0.8872,                0.68151,                 1.0728,                0.92065,                 1.0044,               0.004225,               0.004225,               0.004225
                     38,                0.89722,                0.60198,                0.92229,                0.88811,                0.82803,                0.86694,                0.67216,                 1.0608,                0.90443,                 1.0079,                0.00406,                0.00406,                0.00406
                     39,                0.88907,                0.58895,                0.91774,                0.86409,                0.83844,                  0.866,                0.67388,                 1.0483,                0.90353,                 1.0003,               0.003895,               0.003895,               0.003895
                     40,                0.88791,                0.58318,                0.91868,                0.91008,                0.80105,                 0.8701,                0.67291,                   1.05,                0.89508,                0.99924,                0.00373,                0.00373,                0.00373
                     41,                0.88549,                0.58414,                0.91934,                0.86854,                0.85481,                0.86654,                 0.6776,                 1.0509,                0.88813,                0.99936,               0.003565,               0.003565,               0.003565
                     42,                0.87134,                0.57139,                0.91416,                0.81787,                0.85762,                 0.8663,                 0.6798,                 1.0459,                0.88569,                 1.0006,                 0.0034,                 0.0034,                 0.0034
                     43,                0.86573,                0.55858,                0.91031,                0.91107,                0.79733,                0.86762,                 0.6799,                 1.0525,                0.89025,                 1.0001,               0.003235,               0.003235,               0.003235
                     44,                0.86101,                0.55319,                0.90741,                0.90999,                0.79907,                 0.8748,                0.68082,                 1.0529,                0.89202,                 1.0014,                0.00307,                0.00307,                0.00307
                     45,                0.85384,                0.54226,                0.90581,                0.91056,                0.78824,                0.87585,                0.68404,                 1.0462,                 0.8743,                0.99847,               0.002905,               0.002905,               0.002905
                     46,                0.84381,                0.53645,                  0.903,                0.83482,                0.86201,                0.87169,                0.67673,                 1.0464,                 0.8737,                0.99709,                0.00274,                0.00274,                0.00274
                     47,                0.84115,                0.52912,                0.90195,                0.89607,                0.83077,                0.87622,                0.67807,                 1.0464,                 0.8719,                0.99569,               0.002575,               0.002575,               0.002575
                     48,                0.83441,                0.52419,                0.90157,                 0.8701,                0.83985,                0.87388,                0.68366,                 1.0391,                0.86633,                0.99447,                0.00241,                0.00241,                0.00241
                     49,                 0.8277,                0.51769,                0.89741,                0.86395,                0.83516,                0.87175,                0.68335,                 1.0419,                0.85998,                0.99473,               0.002245,               0.002245,               0.002245
                     50,                0.81665,                0.51389,                 0.9003,                0.90282,                0.82749,                0.87338,                0.68562,                 1.0434,                0.86348,                0.99798,                0.00208,                0.00208,                0.00208
                     51,                0.81611,                 0.4876,                0.90512,                0.90018,                0.82953,                0.88066,                0.69461,                 1.0437,                0.86263,                0.99675,               0.001915,               0.001915,               0.001915
                     52,                0.80311,                0.47534,                0.90129,                0.89858,                0.83415,                0.87708,                0.68613,                 1.0449,                0.86065,                0.99503,                0.00175,                0.00175,                0.00175
                     53,                0.79254,                0.46396,                0.89604,                0.90213,                0.83271,                0.88079,                0.69254,                 1.0464,                0.86167,                0.99785,               0.001585,               0.001585,               0.001585
                     54,                0.78058,                0.45574,                0.89449,                0.91458,                0.82844,                0.88045,                0.69299,                 1.0487,                0.86519,                0.99827,                0.00142,                0.00142,                0.00142
                     55,                0.77846,                0.45158,                 0.8901,                0.89342,                0.83298,                0.87399,                0.68559,                 1.0493,                0.86838,                0.99793,               0.001255,               0.001255,               0.001255
                     56,                0.76804,                0.44384,                0.88815,                 0.8793,                0.83588,                0.87319,                0.68778,                  1.049,                0.86816,                0.99695,                0.00109,                0.00109,                0.00109
                     57,                0.75777,                 0.4374,                0.88827,                0.93247,                0.79261,                0.87237,                0.68595,                 1.0501,                0.86968,                0.99726,               0.000925,               0.000925,               0.000925
                     58,                0.74926,                0.42937,                0.88122,                0.93278,                0.79291,                0.87388,                0.68584,                 1.0489,                0.86763,                0.99641,                0.00076,                0.00076,                0.00076
                     59,                0.73984,                0.42202,                 0.8815,                 0.9312,                0.79112,                0.87205,                0.68243,                 1.0486,                   0.87,                0.99619,               0.000595,               0.000595,               0.000595
                     60,                0.72857,                0.41604,                0.87856,                0.92715,                0.79488,                0.87202,                0.68139,                 1.0478,                0.87311,                0.99572,                0.00043,                0.00043,                0.00043
